Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter 
1,1,1-Apr,,ATL,"W,3-2",43,36,3,9,2,0,0,3,4,1,13,1,1,1,0,0,1,0,0.25,0.333,0.306,0.639,11,15,L,M.Fried
2,2,3-Apr,,ATL,"W,4-0",36,30,4,8,3,0,0,4,4,1,10,2,0,0,0,1,0,0,0.258,0.359,0.333,0.692,8,12,R,C.Morton
3,3,4-Apr,,ATL,"W,2-1",34,30,2,8,0,0,1,2,3,1,13,0,1,0,0,1,1,0,0.26,0.351,0.344,0.695,8,14,R,I.Anderson
4,4,5-Apr,,NYM,"W,5-3",34,29,5,7,1,0,0,3,3,0,8,1,0,1,0,1,0,0,0.256,0.345,0.328,0.673,5,16,R,J.deGrom
5,5,6-Apr,,NYM,"L,4-8",41,37,4,10,2,0,1,3,3,0,8,1,0,0,1,1,0,0,0.259,0.344,0.346,0.69,10,15,R,M.Stroman
6,6,7-Apr,,NYM,"W,8-2",38,33,8,9,3,1,3,8,3,0,10,2,0,0,1,1,4,0,0.262,0.348,0.405,0.753,6,16,L,D.Peterson
7,7,9-Apr,@,ATL,"L,1-8",34,32,1,6,0,0,0,1,2,0,10,0,0,0,0,1,0,0,0.251,0.333,0.374,0.708,6,12,R,C.Morton
8,8,10-Apr,@,ATL,"L,4-5",35,33,4,6,0,0,2,4,2,0,12,0,0,0,0,0,0,0,0.242,0.321,0.373,0.694,4,14,R,I.Anderson
9,9,11-Apr,@,ATL,"W,7-6",35,33,7,8,3,0,3,7,0,0,6,0,0,2,0,0,1,0,0.242,0.311,0.399,0.71,1,14,L,D.Smyly
10,10,Apr 13 (1),@,NYM,"L,3-4",33,27,3,6,1,0,0,3,5,1,14,0,0,1,0,1,1,1,0.241,0.313,0.388,0.701,6,17,R,T.Walker
11,11,Apr 13 (2),@,NYM,"L,0-4",25,25,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0.241,0.308,0.377,0.685,4,11,R,M.Stroman
12,12,14-Apr,@,NYM,"L,1-5",31,30,1,4,1,0,1,1,1,0,14,0,0,0,0,1,0,0,0.232,0.297,0.368,0.665,3,14,L,D.Peterson
13,13,16-Apr,,STL,"W,9-2",38,32,9,9,3,0,1,9,4,1,7,2,0,0,0,1,0,0,0.236,0.305,0.376,0.681,5,12,R,C.Martinez
14,14,17-Apr,,STL,"L,4-9",42,35,4,9,2,0,0,4,5,0,13,1,0,1,0,0,0,0,0.238,0.31,0.371,0.681,11,16,L,K.Kim
15,15,18-Apr,,STL,"W,2-0",35,28,2,6,2,0,1,2,6,1,9,0,0,1,1,1,0,0,0.236,0.312,0.372,0.684,9,10,R,J.Gant
16,16,19-Apr,,SFG,"L,0-2",38,34,0,7,1,0,0,0,4,0,7,0,0,0,0,0,1,0,0.234,0.311,0.363,0.674,11,16,R,K.Gausman
17,17,20-Apr,,SFG,"L,7-10",39,35,7,9,1,0,3,7,4,0,9,0,0,0,0,1,0,0,0.236,0.312,0.375,0.687,5,15,R,L.Webb
18,18,21-Apr,,SFG,"W,6-5",42,37,6,12,0,0,2,5,5,0,12,0,0,0,0,0,1,0,0.241,0.318,0.382,0.7,11,15,R,A.DeSclafani
19,19,23-Apr,@,COL,"L,4-5",39,35,4,11,2,1,1,4,3,0,11,0,0,1,0,2,2,0,0.245,0.32,0.39,0.71,8,16,R,G.Marquez
20,20,24-Apr,@,COL,"W,7-5",41,33,7,9,2,0,2,7,6,0,5,1,0,1,0,0,0,1,0.247,0.324,0.396,0.72,7,12,R,A.Senzatela
